ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback,day_chg,mt_state,mt_spread_pct,mt_ema_fast,mt_ema_slow
AVGO,59,49.48,107.35,0.4609,True,True,True,True,True,True,True,True,True,425.19,369.25,354.39,345.83,-3.3,-1.12,-3.3,True,-3.32,BULL,6.49,382.54,359.22
OKE,60,48.67,74.73,0.6512,True,True,True,True,True,True,True,True,True,92.32,87.06,77.54,75.9,-0.6,8.41,0.0,False,1.42,BULL,4.37,86.08,82.47
STLD,61,48.4,105.54,0.4586,True,True,True,True,True,True,True,True,True,229.34,199.54,180.19,168.05,-5.2,-2.45,-5.2,True,-2.28,BULL,8.76,205.64,189.08
ADM,63,46.44,67.62,0.6867,True,True,True,True,True,True,True,True,True,80.4,72.43,65.43,63.92,-3.0,3.53,-3.0,False,-1.24,BULL,5.8,72.17,68.22
AKAM,66,43.77,118.52,0.3693,True,True,True,True,True,True,True,True,True,150.88,111.61,96.33,91.29,-6.4,2.15,-6.4,False,-3.08,BULL,9.79,114.6,104.37
NUE,67,43.02,103.17,0.417,True,True,True,True,True,True,True,True,True,227.02,192.45,172.4,164.25,-3.1,-0.21,-3.1,False,-2.5,BULL,8.93,199.16,182.84
WMB,68,40.25,67.54,0.596,True,True,True,True,True,True,True,True,True,77.72,73.25,66.12,64.18,0.0,8.0,0.0,False,0.04,BULL,4.85,72.57,69.21
HST,69,40.21,58.63,0.6859,True,True,True,True,True,True,True,True,True,21.38,20.1,18.51,17.91,-4.0,-4.0,-4.0,True,-0.74,BULL,5.48,20.34,19.28
SLB,79,34.51,62.3,0.5538,True,True,True,True,True,True,True,True,True,55.38,51.76,44.85,42.12,-2.7,3.96,-1.1,False,-0.66,BULL,7.95,52.07,48.24
WST,87,29.78,76.22,0.3907,True,True,True,True,True,True,True,True,True,302.89,270.53,266.23,262.45,-7.1,-7.07,-7.1,True,0.9,FRESH_BULL,4.21,280.53,269.2
JBHT,89,28.4,63.3,0.4487,True,True,True,True,True,True,True,True,True,262.21,226.77,203.79,187.69,0.0,6.85,0.0,False,2.96,BULL,8.31,233.52,215.61
ODFL,91,28.0,62.86,0.4455,True,True,True,True,True,True,True,True,True,203.12,199.85,174.33,167.22,-9.5,2.42,0.0,False,2.17,BULL,6.18,199.43,187.81
STT,92,27.92,64.99,0.4296,True,True,True,True,True,True,True,True,True,152.85,137.46,127.88,123.65,-0.8,2.25,-0.6,False,-0.59,BULL,6.17,140.25,132.1
HWM,93,27.69,62.69,0.4417,True,True,True,True,True,True,True,True,True,260.35,246.79,224.2,213.75,-4.8,-3.77,-4.8,True,-4.41,BULL,5.88,246.37,232.68
CMI,102,24.07,62.83,0.383,True,True,True,True,True,True,True,True,True,696.53,605.8,544.97,509.14,-2.8,2.5,-2.8,False,-2.78,BULL,8.52,620.19,571.5
KMI,103,23.39,52.91,0.442,True,True,True,True,True,True,True,True,True,33.63,32.46,29.39,28.67,-0.4,7.07,0.0,False,0.69,BULL,4.02,32.01,30.77
BK,107,20.33,45.22,0.4495,True,True,True,True,True,True,True,True,True,135.02,125.75,118.01,114.39,-1.7,3.46,-0.7,False,-0.71,BULL,5.05,126.89,120.8
SBUX,118,15.64,37.64,0.4156,True,True,True,True,True,True,True,True,True,106.82,98.54,91.62,90.06,0.0,1.8,0.0,False,0.39,BULL,4.03,99.29,95.44
GL,119,14.67,30.3,0.4841,True,True,True,True,True,True,True,True,True,155.04,146.23,140.57,140.28,0.0,2.62,0.0,False,0.37,BULL,2.95,147.56,143.34
