ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback
SNDK,1,2121.29,2463.01,0.8613,True,True,True,True,True,True,True,True,True,1382.72,905.81,529.43,415.12,-11.5,3.19,-11.5,False
LITE,2,1865.51,2133.3,0.8745,True,True,True,True,True,True,True,True,True,1001.81,812.57,510.98,418.27,-4.9,12.24,-4.9,False
CIEN,3,1470.57,1534.72,0.9582,True,True,True,True,True,True,True,True,True,591.57,455.67,306.26,258.55,0.0,9.8,0.0,False
DELL,4,860.0,935.27,0.9195,True,True,True,True,True,True,True,True,True,247.89,188.25,150.42,145.77,-4.8,7.65,-4.8,False
VRT,5,672.56,733.14,0.9174,True,True,True,True,True,True,True,True,True,376.23,294.21,223.01,201.92,0.0,10.65,0.0,False
STX,6,589.38,800.68,0.7361,True,True,True,True,True,True,True,True,True,804.76,530.86,382.88,333.89,-3.5,5.0,-3.5,False
WDC,7,585.88,706.45,0.8293,True,True,True,True,True,True,True,True,True,489.15,354.09,248.31,209.44,-5.2,5.44,-5.2,False
GLW,8,540.24,651.52,0.8292,True,True,True,True,True,True,True,True,True,208.28,155.83,117.39,105.97,0.0,14.19,0.0,False
INTC,9,531.61,918.05,0.5791,True,True,True,True,True,True,True,True,True,115.93,68.24,50.33,44.35,-10.4,5.76,-10.4,False
COHR,10,457.37,529.76,0.8633,True,True,True,True,True,True,True,True,True,404.94,295.48,219.12,190.09,0.0,26.86,0.0,False
FIX,11,418.2,462.21,0.9048,True,True,True,True,True,True,True,True,True,2042.36,1606.11,1236.61,1112.65,0.0,5.17,0.0,False
KEYS,12,415.04,454.4,0.9134,True,True,True,True,True,True,True,True,True,361.55,316.76,243.79,224.92,-1.4,1.83,-1.4,False
GEV,14,332.84,364.73,0.9126,True,True,True,True,True,True,True,True,True,1090.53,961.72,765.33,729.22,-5.1,4.29,-2.5,False
PWR,16,259.59,301.12,0.8621,True,True,True,True,True,True,True,True,True,780.08,619.36,515.12,484.15,-0.7,3.91,-0.7,False
DOW,17,236.1,285.95,0.8257,True,True,True,True,True,True,True,True,True,38.78,38.35,29.59,27.86,-7.4,3.91,-5.0,False
TER,18,234.3,315.57,0.7425,True,True,True,True,True,True,True,True,True,356.55,336.46,255.22,221.33,-14.7,0.69,-6.8,False
JBL,20,185.24,229.02,0.8089,True,True,True,True,True,True,True,True,True,354.34,299.38,252.15,242.73,-4.8,1.36,-4.8,False
DVA,21,181.03,269.48,0.6718,True,True,True,True,True,True,True,True,True,192.58,157.63,135.11,134.82,-4.0,-1.88,-4.0,True
EQIX,22,174.84,191.67,0.9122,True,True,True,True,True,True,True,True,True,1079.68,1028.58,881.52,854.05,-3.2,1.21,-0.8,False
MPWR,23,169.62,260.54,0.651,True,True,True,True,True,True,True,True,True,1613.97,1317.8,1119.36,1052.95,-2.8,2.41,-2.8,False
ON,24,168.2,314.31,0.5351,True,True,True,True,True,True,True,True,True,118.37,77.62,63.75,60.31,0.0,17.65,0.0,False
MPC,25,165.9,204.11,0.8128,True,True,True,True,True,True,True,True,True,248.82,234.59,202.15,195.58,-4.5,2.71,-4.5,False
CASY,26,161.69,177.07,0.9131,True,True,True,True,True,True,True,True,True,877.48,753.29,641.12,612.71,-1.2,3.12,-1.2,False
MU,27,158.13,307.28,0.5146,True,True,True,True,True,True,True,True,True,776.01,479.63,358.8,303.93,-3.4,20.01,-3.4,False
VLO,28,153.51,182.94,0.8391,True,True,True,True,True,True,True,True,True,244.77,239.12,198.6,186.52,-3.8,3.56,-3.4,False
AMD,29,147.94,352.53,0.4197,True,True,True,True,True,True,True,True,True,449.7,274.72,241.06,222.97,-2.0,10.1,-2.0,False
GNRC,30,147.25,235.96,0.6241,True,True,True,True,True,True,True,True,True,276.49,219.91,187.83,186.88,0.0,3.65,0.0,False
TRGP,31,136.02,171.04,0.7953,True,True,True,True,True,True,True,True,True,267.48,243.76,203.01,192.91,0.0,5.96,0.0,False
FANG,33,133.75,154.68,0.8647,True,True,True,True,True,True,True,True,True,200.26,192.2,165.58,159.37,-6.3,5.15,-6.3,False
IRM,34,127.0,163.6,0.7763,True,True,True,True,True,True,True,True,True,127.75,112.45,99.7,98.28,-3.3,0.74,-3.3,False
HPE,35,116.39,176.45,0.6596,True,True,True,True,True,True,True,True,True,34.13,25.68,23.64,23.38,0.0,14.92,0.0,False
AMAT,37,108.72,143.94,0.7553,True,True,True,True,True,True,True,True,True,440.56,379.0,312.42,279.57,-0.7,7.29,-0.7,False
CAT,38,107.63,148.9,0.7228,True,True,True,True,True,True,True,True,True,920.22,777.64,668.28,610.68,-0.7,2.74,-0.7,False
HAL,39,98.57,111.36,0.8852,True,True,True,True,True,True,True,True,True,41.29,38.33,32.38,29.82,-2.4,5.55,-1.6,False
DLR,41,92.02,104.17,0.8833,True,True,True,True,True,True,True,True,True,192.84,188.15,171.6,170.41,-5.4,-1.0,-3.9,False
ETR,42,86.57,100.24,0.8636,True,True,True,True,True,True,True,True,True,112.9,110.3,100.23,97.29,-3.8,0.79,-3.8,False
ADI,43,84.2,130.41,0.6456,True,True,True,True,True,True,True,True,True,426.79,354.63,304.63,288.2,-1.3,4.47,-1.3,False
EME,45,79.69,118.05,0.6751,True,True,True,True,True,True,True,True,True,930.03,805.44,721.32,698.32,-1.5,0.65,-1.5,False
TXN,48,68.84,153.55,0.4483,True,True,True,True,True,True,True,True,True,308.17,228.23,198.47,194.95,0.0,8.04,0.0,False
CBOE,49,66.96,93.13,0.719,True,True,True,True,True,True,True,True,True,358.67,303.94,274.34,266.0,-2.2,5.91,-2.2,False
