ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback
GS,251,-0.05,-5.02,0.0092,True,True,True,True,True,True,True,True,True,948.47,881.2,866.2,837.12,-2.3,1.28,-2.1,False
MNST,265,-0.48,-10.17,0.047,True,True,True,True,True,True,True,True,True,87.09,76.61,76.04,73.04,0.0,0.93,0.0,False
EXPD,324,-5.68,-21.91,0.2592,True,True,True,True,True,True,True,True,True,155.45,146.64,145.73,139.33,-5.8,-0.79,-0.8,False
DLR,41,88.01,101.09,0.8706,True,True,True,True,True,False,True,False,False,188.51,188.35,171.7,170.49,-7.6,-3.48,-5.6,True
ETR,43,82.27,97.1,0.8472,True,True,True,True,False,True,True,True,False,109.03,110.38,100.33,97.4,-7.1,-2.29,-7.1,False
FFIV,44,80.71,103.72,0.7782,True,False,True,True,True,True,True,True,False,362.58,308.22,280.37,290.72,-0.6,2.42,-0.6,False
ROST,48,71.19,83.81,0.8493,True,True,True,True,False,True,True,True,False,212.75,218.84,192.3,181.05,-7.1,-5.78,-7.1,False
ETN,54,58.6,86.07,0.6809,True,True,True,True,True,False,True,False,False,399.44,386.35,362.69,361.79,-7.5,-0.52,-5.2,False
BKR,56,56.8,92.91,0.6114,True,True,True,True,True,True,True,False,False,64.12,62.34,54.85,52.47,-7.7,0.36,-6.8,False
GRMN,62,47.08,87.52,0.5379,False,False,True,True,False,False,True,True,False,225.75,244.73,224.23,227.02,-15.6,-5.97,-7.0,False
JCI,64,45.07,82.0,0.5496,True,True,True,True,True,True,True,False,False,143.08,137.75,126.22,121.32,-2.0,2.55,-1.3,False
APD,65,43.79,54.88,0.798,True,False,True,True,True,False,True,False,False,295.38,292.74,269.38,271.98,-3.5,-0.01,-3.5,False
BG,70,39.94,65.61,0.6087,True,True,True,True,False,True,True,False,False,122.45,124.53,108.93,101.91,-6.1,-1.99,-6.1,False
